Word 1,Word 2,Clue,Explanation 1,Explanation 2
HAND,FIGURE,BODY,HANDS are parts of the BODY.,Someone's FIGURE is the shape of their BODY.
CASINO,MOSCOW,ROULETTE,ROULETTE is a game frequently played in CASINOS.,"Russian ROULETTE is a well-known potentially lethal game of chance, and MOSCOW is closely associated with ""Russian"" since MOSCOW is the capital of Russia."
AUSTRALIA,FILM,KIDMAN,"Nicole KIDMAN is a famous AUSTRALIAN, and she also starred in the 2008 movie AUSTRALIA.",Nicole KIDMAN is a famous FILM actress.
HORN,SHOE,HOOF,"The outermost layer of an animal HOOF consists of hard, HORNY tissue.",Horses are given SHOES (horseshoes) to protect their HOOVES.
DEGREE,NOVEL,451,"The number 451 is most closely associated with ""Fahrenheit 451"", where 451 is a temperature measured in DEGREES Fahrenheit.","The number 451 is most closely associated with ""Fahrenheit 451"", which is a famous NOVEL."
ARM,AIR,RIFLE,A RIFLE is a type of ARM or weapon.,An AIR RIFLE is a type of RIFLE.
SPOT,BARK,DOG,SPOT is a very common and stereotypical name for a DOG.,The sound that a DOG makes is a BARK.
CAP,BALL,RUGBY,"Scrum CAPS are an important piece of safety equipment for RUGBY players; also, CAPS refer to appearances in RUGBY games at an international level.",A RUGBY BALL is an essential piece of equipment for playing RUGBY.
TELESCOPE,SOUND,INSTRUMENT,A TELESCOPE is a type of scientific INSTRUMENT.,The purpose of a musical INSTRUMENT is to produce SOUND.
TOOTH,CONDUCTOR,GOLD,GOLD is often used to replace or cap TEETH.,"As a metal, GOLD is known for being a good CONDUCTOR of electricity."
FENCE,BARK,WOOD,FENCES are commonly made out of WOOD.,BARK and WOOD are both materials produced by trees.
PLOT,BELL,CURVE,Graphs often show data in the form of PLOTTED CURVES.,A BELL CURVE refers to a normal distribution in probability and statistics.
WITCH,BOND,TRIALS,The Salem WITCH TRIALS were a famous historical incident in the United States.,Bail BONDS are posted to ensure that defendants will appear in court for their TRIALS.
SPIKE,DOCTOR,COVID,"The COVID virus is characterized by SPIKE proteins; also, sharp rises in COVID cases are often referred to as SPIKES.",DOCTORS treat patients for COVID.
